Time,Open,High,Low,Close,Volume
05-07-2024 09:15:00,5629.6,5634,5623,5625.2,30
05-07-2024 09:15:01,5625.2,5625.59,5624.51,5624.77,25
05-07-2024 09:15:02,5624.77,5624.91,5624.1,5624.18,13
05-07-2024 09:15:03,5624.18,5624.35,5623.44,5623.8,14
05-07-2024 09:15:04,5623.8,5624.1,5623.79,5623.93,23
05-07-2024 09:15:05,5623.93,5623.99,5623.31,5623.44,13
05-07-2024 09:15:06,5623.44,5624.1,5623.04,5623.91,41
05-07-2024 09:15:07,5623.91,5624.23,5623.78,5624.1,23
05-07-2024 09:15:08,5624.1,5624.43,5623.63,5623.68,19
05-07-2024 09:15:09,5623.68,5624.27,5623.47,5623.98,17
05-07-2024 09:15:10,5623.98,5624.28,5623.89,5624.08,3
05-07-2024 09:15:11,5624.08,5624.29,5623.58,5623.88,25
05-07-2024 09:15:12,5623.88,5624.17,5623.06,5623.34,6
05-07-2024 09:15:13,5623.34,5624,5623.26,5623.79,22
05-07-2024 09:15:14,5623.79,5623.99,5622.85,5623.21,8
05-07-2024 09:15:15,5623.21,5623.95,5623.01,5623.56,33
05-07-2024 09:15:16,5623.56,5623.82,5623.38,5623.66,40
05-07-2024 09:15:17,5623.66,5624.21,5623.45,5623.84,9
05-07-2024 09:15:18,5623.84,5623.89,5623.07,5623.35,50
05-07-2024 09:15:19,5623.35,5623.66,5623.31,5623.35,21
05-07-2024 09:15:20,5623.35,5623.68,5622.4,5622.76,17
05-07-2024 09:15:21,5622.76,5623.39,5622.68,5623.15,16
05-07-2024 09:15:22,5623.15,5623.87,5622.8,5623.63,10
05-07-2024 09:15:23,5623.63,5623.95,5623.26,5623.46,6
05-07-2024 09:15:24,5623.46,5623.54,5622.61,5622.97,16
05-07-2024 09:15:25,5622.97,5623.68,5622.62,5623.49,3
05-07-2024 09:15:26,5623.49,5623.74,5622.7,5622.95,20
05-07-2024 09:15:27,5622.95,5623.11,5622.84,5622.87,12
05-07-2024 09:15:28,5622.87,5623.52,5622.84,5623.28,40
05-07-2024 09:15:29,5623.28,5623.52,5622.7,5622.8,8
05-07-2024 09:15:30,5622.8,5623.44,5622.5,5623.18,3
05-07-2024 09:15:31,5623.18,5623.73,5623,5623.44,14
05-07-2024 09:15:32,5623.44,5623.59,5623.27,5623.53,26
05-07-2024 09:15:33,5623.53,5623.89,5622.89,5623.2,14
05-07-2024 09:15:34,5623.2,5623.33,5623.05,5623.25,18
05-07-2024 09:15:35,5623.25,5623.26,5623.15,5623.21,22
05-07-2024 09:15:36,5623.21,5623.6,5622.92,5623.24,21
05-07-2024 09:15:37,5623.24,5623.54,5622.39,5622.69,47
05-07-2024 09:15:38,5622.69,5623.15,5622.6,5622.78,19
05-07-2024 09:15:39,5622.78,5623.03,5622.37,5622.69,24
05-07-2024 09:15:40,5622.69,5622.77,5622.12,5622.31,33
05-07-2024 09:15:41,5622.31,5622.89,5621.91,5622.51,20
05-07-2024 09:15:42,5622.51,5623.13,5622.21,5622.9,28
05-07-2024 09:15:43,5622.9,5623.54,5622.58,5623.18,22
05-07-2024 09:15:44,5623.18,5623.47,5622.42,5622.69,4
05-07-2024 09:15:45,5622.69,5623.37,5622.67,5623.28,27
05-07-2024 09:15:46,5623.28,5623.63,5622.97,5623.28,50
05-07-2024 09:15:47,5623.28,5623.45,5622.79,5623.01,46
05-07-2024 09:15:48,5623.01,5623.21,5622.5,5622.55,20
05-07-2024 09:15:49,5622.55,5622.67,5622.08,5622.41,5
05-07-2024 09:15:50,5622.41,5622.84,5622.41,5622.72,10
05-07-2024 09:15:51,5622.72,5623.53,5622.58,5623.28,2
05-07-2024 09:15:52,5623.28,5623.65,5623.09,5623.47,8
05-07-2024 09:15:53,5623.47,5623.81,5623.12,5623.76,25
05-07-2024 09:15:54,5623.76,5623.96,5623.28,5623.55,36
05-07-2024 09:15:55,5623.55,5623.79,5623,5623.16,47
05-07-2024 09:15:56,5623.16,5623.5,5622.47,5622.56,8
05-07-2024 09:15:57,5622.56,5622.69,5621.87,5622.24,39
05-07-2024 09:15:58,5622.24,5622.27,5621.73,5621.87,47
05-07-2024 09:15:59,5621.87,5622.14,5621.36,5621.59,36
05-07-2024 09:16:00,5621.59,5622.34,5621.34,5622.08,40
05-07-2024 09:16:01,5622.08,5622.32,5621.74,5621.8,27
05-07-2024 09:16:02,5621.8,5622.43,5621.64,5622.17,31
05-07-2024 09:16:03,5622.17,5622.53,5621.85,5622.15,15
05-07-2024 09:16:04,5622.15,5622.22,5622.02,5622.05,7
05-07-2024 09:16:05,5622.05,5622.54,5621.85,5622.23,22
05-07-2024 09:16:06,5622.23,5622.78,5621.94,5622.55,8
05-07-2024 09:16:07,5622.55,5622.78,5621.84,5622.22,49
05-07-2024 09:16:08,5622.22,5623.07,5621.84,5622.69,29
05-07-2024 09:16:09,5622.69,5623.32,5622.62,5623.15,34
05-07-2024 09:16:10,5623.15,5623.51,5622.96,5623.16,43
05-07-2024 09:16:11,5623.16,5623.57,5623.08,5623.56,16
05-07-2024 09:16:12,5623.56,5623.79,5623.5,5623.72,2
05-07-2024 09:16:13,5623.72,5623.8,5623.17,5623.44,9
05-07-2024 09:16:14,5623.44,5623.81,5622.86,5623.2,32
05-07-2024 09:16:15,5623.2,5623.43,5622.56,5622.92,45
05-07-2024 09:16:16,5622.92,5623.04,5622.35,5622.56,8
05-07-2024 09:16:17,5622.56,5622.96,5622.12,5622.19,42
05-07-2024 09:16:18,5622.19,5622.26,5621.34,5621.62,44
05-07-2024 09:16:19,5621.62,5621.84,5621.08,5621.34,40
05-07-2024 09:16:20,5621.34,5622.08,5621.19,5621.89,34
05-07-2024 09:16:21,5621.89,5622.39,5621.71,5622.31,26
05-07-2024 09:16:22,5622.31,5622.32,5621.81,5621.88,11
05-07-2024 09:16:23,5621.88,5622.21,5621.56,5621.59,20
05-07-2024 09:16:24,5621.59,5622.44,5621.58,5622.07,30
05-07-2024 09:16:25,5622.07,5622.17,5621.73,5621.76,14
05-07-2024 09:16:26,5621.76,5622.06,5621.56,5621.62,24
05-07-2024 09:16:27,5621.62,5622.05,5621.57,5621.75,36
05-07-2024 09:16:28,5621.75,5621.81,5621.2,5621.23,20
05-07-2024 09:16:29,5621.23,5621.52,5620.73,5620.95,22
05-07-2024 09:16:30,5620.95,5621.15,5620.36,5620.65,9
05-07-2024 09:16:31,5620.65,5621.14,5620.36,5621.13,22
05-07-2024 09:16:32,5621.13,5621.41,5620.77,5620.97,21
05-07-2024 09:16:33,5620.97,5621.2,5620.79,5621.13,45
05-07-2024 09:16:34,5621.13,5621.31,5620.67,5620.93,9
05-07-2024 09:16:35,5620.93,5621.5,5620.79,5621.12,22
05-07-2024 09:16:36,5621.12,5621.48,5620.51,5620.74,35
05-07-2024 09:16:37,5620.74,5621.04,5620.67,5620.68,26
05-07-2024 09:16:38,5620.68,5621.12,5620.3,5620.97,2
05-07-2024 09:16:39,5620.97,5621.19,5620.64,5620.81,2
05-07-2024 09:16:40,5620.81,5620.81,5620.29,5620.64,31
05-07-2024 09:16:41,5620.64,5620.68,5620.21,5620.44,1
05-07-2024 09:16:43,5620.44,5620.83,5620.24,5620.73,18
05-07-2024 09:16:44,5620.73,5621.4,5620.6,5621.07,35
05-07-2024 09:16:45,5621.07,5621.8,5620.92,5621.48,24
05-07-2024 09:16:46,5621.48,5621.59,5621.07,5621.1,7
05-07-2024 09:16:47,5621.1,5621.5,5620.23,5620.57,35
05-07-2024 09:16:48,5620.57,5620.7,5620.11,5620.36,46
05-07-2024 09:16:49,5620.36,5620.5,5620.12,5620.27,25
05-07-2024 09:16:50,5620.27,5620.28,5619.68,5619.71,2
05-07-2024 09:16:51,5619.71,5619.71,5618.85,5619.16,34
05-07-2024 09:16:52,5619.16,5619.5,5619.1,5619.19,32
05-07-2024 09:16:53,5619.19,5619.26,5618.81,5619.08,43
05-07-2024 09:16:54,5619.08,5619.77,5618.92,5619.42,9
05-07-2024 09:16:55,5619.42,5619.48,5619.04,5619.38,6
05-07-2024 09:16:56,5619.38,5619.54,5618.66,5619.03,23
05-07-2024 09:16:57,5619.03,5619.28,5618.98,5619.27,8
05-07-2024 09:16:58,5619.27,5619.51,5618.9,5619.09,50
05-07-2024 09:16:59,5619.09,5619.84,5618.76,5619.47,25
05-07-2024 09:17:00,5619.47,5619.69,5619.32,5619.48,30
05-07-2024 09:17:01,5619.48,5620.15,5619.36,5620.07,4
05-07-2024 09:17:02,5620.07,5620.7,5619.8,5620.59,10
05-07-2024 09:17:03,5620.59,5620.65,5619.92,5620.31,24
05-07-2024 09:17:04,5620.31,5620.54,5619.81,5620.16,27
05-07-2024 09:17:05,5620.16,5620.49,5619.76,5620.17,43
05-07-2024 09:17:06,5620.17,5620.4,5619.77,5619.81,33
05-07-2024 09:17:07,5619.81,5619.94,5618.92,5619.28,8
05-07-2024 09:17:08,5619.28,5619.3,5618.9,5619.03,2
05-07-2024 09:17:09,5619.03,5619.15,5618.74,5618.91,47
05-07-2024 09:17:10,5618.91,5619.27,5618.76,5618.86,46
05-07-2024 09:17:11,5618.86,5619.12,5618.32,5618.47,21
05-07-2024 09:17:12,5618.47,5618.84,5618.34,5618.68,12
05-07-2024 09:17:13,5618.68,5619.3,5618.6,5619,23
